
ui_texture_detail|紋理精細度：
ui_m_ultra_high|極高
ui_force_single_threading|強制單線性
ui_not_enough_memory|似乎你現在的可用的磁盤空間和虛擬內存的總大小為%d MB。Mount&Blade Warband需要至少700 MB的可用空間才能保證運行不會出問題。如果你在玩Mount&Blade Warband的時候屏幕不斷閃動，那麼在開始玩Mount&Blade Warband前請關掉一些運行的項目。或者在控制面板裡的系統菜單裡調大你的虛擬內存。
ui_install|安裝Mount&Blade Warband
DirectXText|Mount＆Blade Warband需求DirectX 9.0c及以上才能正常運行。你的電腦未達到這個要求。你可以到微軟的官方網站下載並安裝最新的DirectX來解決這個問題。你現在想訪問TaleWorlds網站的DirectX下載頁面嗎？
NoMountAndBladeText|Mount＆Blade Warband未被裝於這個電腦上。請到www.taleworlds.com網站下載完全的安裝文件並安裝。
ui_SavegamesText|你想保存你的文件嗎？
ui_trialmode_online|Mount＆Blade Warband現在運行在試用模式。在這個模式下你可以一直玩到角色級別第七級。之後你需要從TaleWorlds.com購買一個許可證，在線購買只需要花很短的時間。之後你就可以解鎖遊戲並接著玩下去了。
ui_launch_activate|輸入你的序列號
ui_trialmode2_online|購買一個許可證之後，你將獲得你的序列號。\n要解鎖遊戲……
ui_trialmode3_online|或者，如果你現在還不想購買遊戲，你也可以……
ui_trialmode4_online|我們的在線銷售流程是足夠安全的，而且我們非常尊重我們顧客的權利，比如：安全性，隱私，拷貝遊戲的副本和升級他們的電腦硬件。如果你想要對我們的銷售策略有更多的瞭解，請看一下：
ui_ondemand_textures|在需要時再載入紋理
ui_language|語言：
ui_steam_not_running|無法正確初始化Steam。必須啟動Steam來進行遊戲。
ui_switch_to_turkish_explanation|Oyunun dilini Turkce'ye cevirmek ister misiniz?
ui_switch_to_turkish_yes|Evet
ui_switch_to_turkish_no|Hayir
ui_new_version_message|已有更新的遊戲版本可用。你是否要現在訪問下載頁面？
ui_enable_version_check|允許檢查新版本
ui_disable|不允許
ui_yes2|是
ui_no2|否
ui_new_version_message2|已有更新的遊戲版本可用。請訪問你購買該遊戲的網站主頁來下載更新的版本。
ui_napoleonic_key_does_not_exist|這個MOD需要拿破侖戰爭DLC才能玩！
ui_delete_module_workshop|你確定你想取消訂閱這個MOD？
ui_delete_module|你確定你想刪除這個MOD？
ui_delete_native_module|你不能刪除Native這個MOD。
ui_incompatible_module|服務器與你當前的MOD不兼容。你可以用配置工具來改變MOD。
